10, 0.0, False, {'score_reward': 0} 
20, 0.0, False, {'score_reward': 0} 
30, 0.0, False, {'score_reward': 0} 
40, 0.0, False, {'score_reward': 0} 
50, 0.0, False, {'score_reward': 0} 
60, 0.0, False, {'score_reward': 0} 
70, 0.0, False, {'score_reward': 0} 
80, 0.0, False, {'score_reward': 0} 
90, 0.0, False, {'score_reward': 0} 
100, 0.0, False, {'score_reward': 0} 
110, 0.0, False, {'score_reward': 0} 
120, 0.0, False, {'score_reward': 0} 
130, 0.0, False, {'score_reward': 0} 
140, 0.0, False, {'score_reward': 0} 
150, 0.0, False, {'score_reward': 0} 
151, 0.0, True, {'score_reward': 0} 
